Username,Handle,Timestamp,Text,Replys,Retweets,Likes
juarez de souza,@jsaraujo2009,2018-09-25T14:08:14.000Z,"Chega de mamar na teta do governo, que ganhe seu dinheiro com sacrifício assim como a maioria da população #Rouanet Não
1",,,1
Wanderson Paiva,@WandersonPaiv19,2018-09-25T13:31:04.000Z,#rouanet não,,,
GSC,@GSC02396232,2018-09-25T12:54:58.000Z,"Em resposta a 
@JOAQUIMTEIXElRA
#ROUANET NÃO 
Porque o PT quer puxar os SANGUESSUGAS pro
 lado deles no intuito de alegarem que investem em arte e Cultura ; ai os desinformados caem igual patinho na lábia desta seita maldita de corruptos COMUNISTAS",,,
Gesiel Souza,@gesielteclas,2018-09-25T12:51:00.000Z,"O sistema corrupto está Ruindo! O único que se posicionou de fato contra esse escárnio foi você capitão 
@jairbolsonaro
! Por isso, não me influencio por pseudos artistas que mamam os milhões da #Rouanet, vão ter que montar bilheteria!

 #EleSimENo1Turno
#Bolsonaro17 
#ComunismoNão",,,
Fabio Gündoğan,@fabiosouzabarr1,2018-09-25T12:42:04.000Z,"Quando pensamos que não pode ficar pior, descubro que terá desenho da Anitta, provavelmente também financiado pela lei #Rouanet lamentável, qual será o tema..

Erotismo
Baile funk 
Drogas
Ou balançar a raba é normal pras crianças ...",,,
Jader Oliveira,@JaderOliveira15,2018-09-25T12:29:13.000Z,"Desafio os artistas a sobreviverem sem o benefício da lei #Rouanet 
#RouantetNao #EleSimENo1Turno #EleSim",,,
Jon fla,@jon_jonfla,2018-09-25T12:08:27.000Z,"Em resposta a 
@faelocta
Vão mesmo a maioria vota Bolsonaro exceto as artista da #Rouanet
1",1,,
Gel_Brito,@GelBrito_DiZion,2018-09-25T11:30:19.000Z,"#Artitas
#Elasnão usam SUS
#Elasnão pegam ônibus #Elasnão andam sozinhas à noite 
#Elasnão têm filhos em escolas públicas
#Elasnão olham o preço da gasolina 
#Elasnão estão desempregadas 
#Elasnão são assaltadas 
#Elasnão estão preocupadas!! 
#Elas só ligam pra grana da #Rouanet
1",,,1
Debora Andrade,@Deboravideirap1,2018-09-25T09:12:54.000Z,#Rouanet não.,,,
Tony Alves,@tonyalvesp,2018-09-25T08:18:40.000Z,"#forçaanitta #rouanet retiro o que disse , farinha do mesmo saco !",,,
@miki1,@miki1,2018-09-25T07:35:40.000Z,"#rouanet não
1",,,1
Fábio Barcellos,@ofof2k1,2018-09-25T05:07:45.000Z,"Quem não vive da #Rouanet não precisa se esconder. 
 Paulo Ricardo 
#EleSim #Mulherescombolsonaro #ForçaCapitão #B17 #Bolsonaro17 #OCapitãoVoltou #leiRouanetnão
#Elesim17 https://facebook.com/fabio.barcellos.18/posts/1942969789119191…
1",,,1
Sperber Márcio,@MarcioSperber,2018-09-25T04:36:38.000Z,"#LEI #ROUANET UMA PINOIA! 
A CONTA CHEGOU E OS COMUNAS ESTÃO COBRANDO!
PAGA NÃO! KKKK BANDO DE ARTISTAS FULEIROS!",,,
Jonas,@Jonas34589986,2018-09-25T03:49:40.000Z,"Em resposta a 
@Anitta
 @danielamercury
 e mais 3
#Rouanet Nao",,,
Eder,@Eder65877587,2018-09-25T03:45:57.000Z,"Em resposta a 
@Anitta
 @danielamercury
 e mais 3
Artista são comprados pela Rouanet.
#Rouanet Nao",,,
Neli Rodrigues,@enelyse,2018-09-25T02:32:18.000Z,"Em resposta a 
@VEJA
 e 
@danielamercury
Brasileiros notáveis lançam carreatas contra a corrupção em todo o Brasil..Entendeu mídia parcial, é isto que o povo quer ler...#ElasNão  #Rouanet  #EleSim",,,
Maurício Nóbrega,@mauricionobrega,2018-09-25T02:29:54.000Z,"Ué 
@danielamercury
 trancou o tw pq não aguentou pensar em ficar sem #rouanet ? #RouanetNão
2
7",,2,7
CELSO RICARDO MONTEIRO PASSOS,@CUrelha,2018-09-25T02:29:38.000Z,"#Rouanet Nao
Bando de sangue sugas!
4",,,4
Nívea Richard,@NiveaRichard,2018-09-25T02:29:23.000Z,#Rouanet Nao,,,
Wellington,@Welling50947258,2018-09-25T02:24:29.000Z,#Rouanet Nao,,,
Marcio Adriano,@JenniMarcio,2018-09-25T02:24:27.000Z,A teta vai secar kkk #Rouanet Nao,,,
Wanderley,@Wanderl36688837,2018-09-25T02:24:16.000Z,"Chega de sustentar prostitutas...#Rouanet Nao
1",,,1
MARCOS OLIVEIRA,@marflucos,2018-09-25T02:24:13.000Z,#Rouanet Nao,,,
Joaquim Guilherme de Almeida Bisneto,@JoaquimBisneto,2018-09-25T02:24:04.000Z,#Rouanet Nao,,,
Fernanda,@feferp,2018-09-25T02:21:46.000Z,#Rouanet Nao,,,
